LOYALTY,Satis,VALUE,Reputa,Pricey,ATRUST,CTRUST,age,sex,educ,Loca,caseid
6.16666666666667,9,9.33333333333333,2.5,8,9.25,9.75,5,1,3,1,57
6.875,8.33333333333333,10,5.75,6.66666666666667,9.75,9.5,3,1,3,1,59
4,9,5,4,6,9,9,4,1,3,1,61
3.45833333333333,6,5.16666666666667,3.75,4.66666666666667,3.5,2.75,3,1,4,1,62
1.75,1,3.83333333333333,4,5,3,1,2,1,2,1,64
1,2.33333333333333,1.16666666666667,2.25,4,2.25,2.25,2,1,3,1,65
6.625,7.66666666666667,8,5.5,7,9,8.5,3,1,4,1,66
5.25,8,7.5,4,7,10,8,3,1,1,1,67
6.625,10,9.66666666666667,5.5,9,10,10,2,1,4,1,68
6,6,8.66666666666667,4,8,10,10,2,1,4,1,69
4.375,8.66666666666667,7.66666666666667,6,6,8.25,9,5,1,4,1,70
4,6,9.5,4.25,3,8.5,8.5,3,1,4,1,71
6.70833333333333,10,8,5,5.33333333333333,10,10,4,1,2,1,73
5.375,10,10,6.25,9,10,10,3,1,4,1,75
5.25,9.66666666666667,8,5.25,6,8.75,8.5,3,1,3,1,79
5.75,7,5,4.25,6,8,9,5,1,4,1,80
7,9.66666666666667,10,6.75,7.33333333333333,10,10,2,1,3,1,82
5.41666666666667,6.33333333333333,8.5,5.5,6,9,8,2,1,3,1,84
5.875,10,8,4.5,6,8.75,8.5,5,1,2,1,85
4.16666666666667,7.66666666666667,9,4.75,6.66666666666667,9,7,4,1,4,1,87
5.08333333333333,6,6,4,6,4.5,5.25,5,1,4,1,88
6.41666666666667,8,8.16666666666667,4,8,7.5,8,5,1,3,1,93
2.25,3.66666666666667,5.5,4.5,4,2,4.5,2,1,4,1,96
6.375,9.33333333333333,7.33333333333333,5.5,7.33333333333333,10,8,3,1,1,1,98
5.375,10,9,4.5,8,8.5,8.5,2,1,1,1,100
5.58333333333333,9,9.16666666666667,4.75,6.33333333333333,9,8.25,3,1,2,1,104
